run,seed,agent,pair_rate,skr_rate,total_pairs,total_time_s,scenario
18,27000,Reiss-PPO,0.0,0.0,0,1.0,Reiß & van Loock (2023) scenario
19,28000,Your-PPO,435.0059973029624,0.0,572,1.3149244000000013,Reiß & van Loock (2023) scenario
19,28000,Reiss-PPO,0.0,0.0,0,1.0,Reiß & van Loock (2023) scenario
0,12000,Your-PPO,0.0,0.0,0,3.4101811000000035,Metzger et al. (2025) scenario
0,12000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
1,13000,Your-PPO,0.0,0.0,0,3.212931200000002,Metzger et al. (2025) scenario
1,13000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
2,14000,Your-PPO,0.0,0.0,0,3.411526700000003,Metzger et al. (2025) scenario
2,14000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
3,15000,Your-PPO,0.0,0.0,0,3.810483800000004,Metzger et al. (2025) scenario
3,15000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
4,16000,Your-PPO,0.0,0.0,0,3.6119791000000045,Metzger et al. (2025) scenario
4,16000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
5,17000,Your-PPO,0.0,0.0,0,3.212685500000004,Metzger et al. (2025) scenario
5,17000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
6,18000,Your-PPO,0.0,0.0,0,3.610973700000003,Metzger et al. (2025) scenario
6,18000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
7,19000,Your-PPO,0.0,0.0,0,3.4120335000000006,Metzger et al. (2025) scenario
7,19000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
8,20000,Your-PPO,0.0,0.0,0,3.4132307000000033,Metzger et al. (2025) scenario
8,20000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
9,21000,Your-PPO,0.0,0.0,0,3.6110243000000013,Metzger et al. (2025) scenario
9,21000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
10,22000,Your-PPO,0.0,0.0,0,3.6103270000000016,Metzger et al. (2025) scenario
10,22000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
11,23000,Your-PPO,0.0,0.0,0,3.4122268000000027,Metzger et al. (2025) scenario
11,23000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
12,24000,Your-PPO,0.0,0.0,0,3.6118260000000015,Metzger et al. (2025) scenario
12,24000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
13,25000,Your-PPO,0.0,0.0,0,3.211875600000001,Metzger et al. (2025) scenario
13,25000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
14,26000,Your-PPO,0.0,0.0,0,4.009575800000003,Metzger et al. (2025) scenario
14,26000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
15,27000,Your-PPO,0.0,0.0,0,3.4114898000000022,Metzger et al. (2025) scenario
15,27000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
16,28000,Your-PPO,0.0,0.0,0,3.810331900000003,Metzger et al. (2025) scenario
16,28000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
17,29000,Your-PPO,0.0,0.0,0,3.412025600000003,Metzger et al. (2025) scenario
17,29000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
18,30000,Your-PPO,0.0,0.0,0,3.6117833000000026,Metzger et al. (2025) scenario
18,30000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
19,31000,Your-PPO,0.0,0.0,0,3.4096725,Metzger et al. (2025) scenario
19,31000,Metzger-PPO,0.0,0.0,0,1.0,Metzger et al. (2025) scenario
